Record Date,Statement Fiscal Year,Restatement Flag,Agency Name,Gross Cost (in Billions),Earned Revenue (in Billions),Subtotal (in Billions),Change in Assumptions (in Billions),Net Cost (in Billions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-09-30,2024,N,Department of Health and Human Services,1907.3,170.1,1737.2,1.0,1738.2,1,2024,4,2024,3,09,30
2024-09-30,2024,N,Social Security Administration,1530.5,0.3,1530.2,0.0,1530.2,2,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Defense,1062.9,67.3,995.6,236.7,1232.3,3,2024,4,2024,3,09,30
2024-09-30,2024,N,Interest on Treasury Securities held by the public,909.1,0.0,909.1,0.0,909.1,4,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Veterans Affairs,515.6,5.9,509.7,-37.7,472.0,5,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of the Treasury,321.5,99.2,222.3,0.0,222.3,6,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Agriculture,213.7,10.6,203.1,0.0,203.1,7,2024,4,2024,3,09,30
2024-09-30,2024,N,Office of Personnel Management,147.7,31.9,115.8,83.8,199.6,8,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Education,218.8,27.1,191.7,0.0,191.7,9,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Transportation,116.8,1.5,115.3,0.0,115.3,10,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Homeland Security,118.4,17.0,101.4,0.0,101.4,11,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Energy,81.3,5.8,75.5,0.0,75.5,12,2024,4,2024,3,09,30
2024-09-30,2024,N,Security Assistance Accounts,99.5,25.1,74.4,0.0,74.4,13,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Justice,49.4,1.9,47.5,0.0,47.5,14,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Housing and Urban Development,51.2,4.4,46.8,0.0,46.8,15,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Labor,40.6,0.0,40.6,0.0,40.6,16,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of State,44.2,6.1,38.1,-0.3,37.8,17,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of the Interior,32.1,3.4,28.7,0.0,28.7,18,2024,4,2024,3,09,30
2024-09-30,2024,N,National Aeronautics and Space Administration,25.0,0.5,24.5,0.0,24.5,19,2024,4,2024,3,09,30
2024-09-30,2024,N,Agency for International Development,23.5,0.1,23.4,0.0,23.4,20,2024,4,2024,3,09,30
2024-09-30,2024,N,Federal Communications Commission,17.6,0.4,17.2,0.0,17.2,21,2024,4,2024,3,09,30
2024-09-30,2024,N,Department of Commerce,20.2,4.7,15.5,0.0,15.5,22,2024,4,2024,3,09,30
2024-09-30,2024,N,Railroad Retirement Board,14.6,0.0,14.6,0.0,14.6,23,2024,4,2024,3,09,30
2024-09-30,2024,N,Environmental Protection Agency,14.3,0.6,13.7,0.0,13.7,24,2024,4,2024,3,09,30
2024-09-30,2024,N,United States Postal Service,89.4,77.8,11.6,0.0,11.6,25,2024,4,2024,3,09,30
2024-09-30,2024,N,Pension Benefit Guaranty Corporation,35.3,24.8,10.5,0.0,10.5,26,2024,4,2024,3,09,30
2024-09-30,2024,N,National Science Foundation,9.4,0.0,9.4,0.0,9.4,27,2024,4,2024,3,09,30
2024-09-30,2024,N,Smithsonian Institution,1.6,0.4,1.2,0.0,1.2,28,2024,4,2024,3,09,30
2024-09-30,2024,N,Millennium Challenge Corporation,0.7,0.0,0.7,0.0,0.7,29,2024,4,2024,3,09,30
2024-09-30,2024,N,National Credit Union Administration,0.4,0.1,0.3,0.0,0.3,30,2024,4,2024,3,09,30
2024-09-30,2024,N,U.S. Nuclear Regulatory Commission,0.9,0.7,0.2,0.0,0.2,31,2024,4,2024,3,09,30
2024-09-30,2024,N,Securities and Exchange Commission,3.1,3.4,-0.3,0.0,-0.3,32,2024,4,2024,3,09,30
2024-09-30,2024,N,Farm Credit System Insurance Corporation,0.1,0.4,-0.3,0.0,-0.3,33,2024,4,2024,3,09,30
2024-09-30,2024,N,Export-Import Bank of the United States,-0.1,0.2,-0.3,0.0,-0.3,34,2024,4,2024,3,09,30
2024-09-30,2024,N,United States International Development Finance Corporation,0.1,0.4,-0.3,0.0,-0.3,35,2024,4,2024,3,09,30
2024-09-30,2024,N,General Services Administration,1.59999999999999,2.1,-0.500000000000003,0.0,-0.500000000000003,36,2024,4,2024,3,09,30
2024-09-30,2024,N,Tennessee Valley Authority,11.1,12.3,-1.2,0.0,-1.2,37,2024,4,2024,3,09,30
2024-09-30,2024,N,National Railroad Retirement Investment Trust,0.1,4.6,-4.5,0.0,-4.5,38,2024,4,2024,3,09,30
2024-09-30,2024,N,Small Business Administration,-0.2,4.5,-4.7,0.0,-4.7,39,2024,4,2024,3,09,30
2024-09-30,2024,N,Federal Deposit Insurance Corporation,21.9,35.5,-13.6,0.0,-13.6,40,2024,4,2024,3,09,30
2024-09-30,2024,N,All other entities,21.0,1.8,19.2,0.1,19.3,41,2024,4,2024,3,09,30
2024-09-30,2024,N,Total,7772.20000000001,652.9,7119.30000000001,283.6,7402.90000000001,42,2024,4,2024,3,09,30
2024-09-30,2023,Y,Department of Health and Human Services,1875.6,161.2,1714.4,-0.3,1714.1,1,2024,4,2024,3,09,30
2024-09-30,2023,Y,Social Security Administration,1433.1,0.3,1432.8,0.0,1432.8,2,2024,4,2024,3,09,30
2024-09-30,2023,Y,Department of Defense,969.0,55.0,914.0,89.3,1003.3,3,2024,4,2024,3,09,30
2024-09-30,2023,Y,Interest on Treasury Securities held by the public,678.0,0.0,678.0,0.0,678.0,4,2024,4,2024,3,09,30
2024-09-30,2023,Y,Department of Veterans Affairs,902.0,5.5,896.5,558.8,1455.3,5,2024,4,2024,3,09,30
2024-09-30,2023,Y,Department of the Treasury,357.4,53.7,303.7,0.0,303.7,6,2024,4,2024,3,09,30
